행정기관,총인구수,남자인구수,여자인구수,5세이하인구수,18세이상인구수,65세이상인구수,세대수,전월대비,순위
왕십리제2동,15882,7613,8269,587,14126,2956,7374,12,6
왕십리도선동,25743,12090,13653,1016,22594,4349,12033,-136,1
마장동,21394,10478,10916,519,19499,4443,10865,54,4
사근동,12059,6238,5821,149,11449,1604,8354,9,15
행당제1동,13613,6477,7136,459,12092,2409,6470,-41,12
행당제2동,22501,10486,12015,841,19619,4376,9158,4,3
응봉동,14557,6889,7668,462,12565,2700,5882,-36,8
금호1가동,14431,6840,7591,576,12638,3037,6400,-29,9
금호2.3가동,20736,9830,10906,853,18429,4153,9389,3,5
금호4가동,14011,6587,7424,635,12172,2828,6374,-10,10
옥수동,25185,11663,13522,1307,21689,4726,10664,7,2
성수1가제1동,15066,7437,7629,446,13715,2672,7341,5,7
성수1가제2동,13155,6377,6778,439,11875,2372,6493,157,13
성수2가제1동,13875,7198,6677,305,12878,3177,7371,-49,11
성수2가제3동,9530,4697,4833,216,8794,1978,4963,-39,16
송정동,9309,4897,4412,165,8663,2004,5210,-12,17
용답동,12148,6233,5915,130,11582,2402,7868,-9,14
