이름,서울페이업종코드,주소,상세주소,위도,경도,변환상태
해초가,음식점/식음료업,"서울특별시 영등포구 국회대로76길 10 (여의도동, 기독교한국침례회총회빌딩)			",,37.53065616,126.9215576,성공
원스실용음악학원,예술교육,서울특별시 노원구 한글비석로 281 (중계동),301호,37.65286745,127.0777195,성공
우리좋은내과의원,보건/복지,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스)",센트라스 상가 L동 203호,37.56660293,127.0240825,성공
그린한의원,의류/잡화,서울특별시 중구 퇴계로 58,2층(남창동),37.55882249,126.9788456,성공
성북미올한방병원,보건/복지,서울특별시 성북구 동소문로 106(동선동1가),,37.59257476,127.0170888,성공
증미경희한의원,보건/복지,서울특별시 강서구 양천로 583(염창동),A동 304호,37.55711619,126.8643474,성공
보떼 홍제역점,생활/리빙,서울특별시 서대문구 통일로37길 3,1층,37.58793236,126.9446248,성공
500원양꼬치,음식점/식음료업,서울특별시 광진구 영화사로 54-1 (중곡동),중곡동,37.55538275,127.0923753,성공
브알라 을지로점,음식점/식음료업,"서울특별시 중구 청계천로 100, 시그니쳐타워 지하1층 (수표동)",,37.56747272,126.9881132,성공
씨에떼,의류/잡화,서울특별시 성동구 연무장길 10-1 (성수동1가),1층,37.54377009,127.0506471,성공
에이커 Acre,생활/리빙,서울특별시 종로구 자하문로9길 30(누하동),1층,37.57954433,126.9694786,성공
깜장커피,음식점/식음료업,서울특별시 동대문구 무학로36길 40,유현빌딩 1층 101호,37.57742216,127.0327297,성공
메가엠지씨커피 목동3단지점,음식점/식음료업,서울특별시 양천구 목동중앙로 43,,37.533541,126.8695252,성공
북촌 김치 재,음식점/식음료업,서울특별시 종로구 북촌로2길 8 (재동),재동 84-10,37.57783503,126.9861919,성공
사당역약국,보건/복지,서울특별시 동작구 동작대로 지하 3 (사당동),,37.47686327,126.9815951,성공
카페CAFE'4가13번지,음식점/식음료업,서울특별시 영등포구 도림로141가길 21-2 (문래동4가),1층,37.51560517,126.890702,성공
대치사월에보리밥,음식점/식음료업,서울특별시 강남구 남부순환로 2913 (대치동),,37.49275219,127.0585294,성공
콩두 둔촌점,음식점/식음료업,"서울시 강동구 양재대로87길 26(성내동, 영산아트빌)",,37.5257944,127.1336731,성공
리드앤톡영어교습소,입시/교습학원,"서울특별시 양천구 목동동로 350 (목동, 목동신시가지아파트5단지)",,37.53515661,126.8818744,성공
베테랑스타미술학원,기술/기능교육,서울특별시 강남구 선릉로82길 10,"4층(대치동,예일빌딩)",37.50248219,127.050867,성공
영어교실,외국어/언어,"서울 서대문구 북아현로20길 64, B102호 (북아현동, 호성파크빌라)",지층,37.56404078,126.9566836,성공
청우미트,식자재/유통,"서울특별시 강남구 선릉로 660 (삼성동, 브라운스톤레전드)			",브라운스톤 레전드빌딩 지하 101호 ,37.51555112,127.0423325,성공
유니팝독산미술학원,음식점/식음료업,"서울특별시 금천구 벚꽃로 30 , 207동 411호 (독산동, 롯데캐슬 골드파크 2차)",유니팝독산미술학원,37.45822291,126.8937104,성공
제이포커스북스,문화/체육,서울 서초구 동광로19길 19,4층 401호,37.49335615,126.9889376,성공
스마일,생활/리빙,서울특별시 마포구 마포대로 225 (아현동),3층 샐러드마스터,37.55414495,126.9566826,성공
연,음식점/식음료업,서울특별시 도봉구 도봉산1길 66,1층(도봉동),37.68444057,127.0452519,성공
큐사랑,생활/리빙,서울특별시 노원구 덕릉로 663-2 (중계동),1층 큐사랑 염색전문점,37.65694132,127.074526,성공
딥스(Dibs),음식점/식음료업,서울 마포구 성미산로29안길 19-4,B01호,37.56559058,126.923339,성공
건강한생활약국,보건/복지,서울특별시 노원구 노해로 490,1층 107호,37.65440974,127.0624109,성공
쿵푸양꼬치,음식점/식음료업,서울시 은평구 통일로 833-4,"2층,쿵푸양꼬치",37.61778506,126.9217281,성공
킷사고구마 (Kissa Koguma),음식점/식음료업,서울특별시 영등포구 경인로77길 19,", 상가동 2층 2호(문래동2가, 남성맨션아파트)",37.51296387,126.8919685,성공
세븐일레븐 상계현대점,식자재/유통,"서울특별시 노원구 덕릉로122길 25, 1층 101호(상계동)",세븐일레븐 상계현대점,37.6686172,127.0816337,성공
더 가꿈(The 가꿈),생활/리빙,"서울특별시 강동구 명일로10길 17, 1층 103호 (둔촌동)",,37.53179055,127.1449142,성공
금농,음식점/식음료업,서울시 동대문구 회기로 52,지하1층(청량리동),37.59104866,127.0421973,성공
수래연(카페이마),음식점/식음료업,"서울특별시 종로구 세종대로 152 (세종로, 일민미술관)",,37.56986776,126.9776571,성공
정관장 동묘점,식자재/유통,서울특별시 종로구 종로 347,롯데캐슬천지인상가 1층 102호,37.57405626,127.016,성공
수성악기,의류/잡화,서울시 종로구 삼일대로 428,"A열 256호,B열 256호",37.57276352,126.9879025,성공
쉬는 시간,음식점/식음료업,서울특별시 종로구 자하문로7길 52 (통인동),쉬는시간,37.57968526,126.9695526,성공
W Therapy,생활/리빙,서울특별시 종로구 종로 62-1 (종로2가),,37.56993813,126.9843611,성공
꾸스꾸스,음식점/식음료업,서울시 종로구 자하문로5길 16-2,1층,37.57786106,126.9711504,성공
백옥생한방화장품,생활/리빙,서울특별시 종로구 성균관로 12 (명륜2가),3층 백옥생화장품,37.58398268,126.9981533,성공
숨 네일,생활/리빙,서울특별시 송파구 마천로 196 (오금동),,37.50209858,127.1404074,성공
건호한우축산,식자재/유통,서울특별시 양천구 등촌로 204,,37.54786226,126.8635194,성공
부대찌개대사관 구로디지털본점,음식점/식음료업,서울특별시 구로구 디지털로33길 12,1층 104호,37.4865551,126.8961621,성공
개성식당,음식점/식음료업,서울특별시 양천구 목동중앙서로 48,지하1층 개성식당,37.53291038,126.8691057,성공
모타운 커피,음식점/식음료업,서울특별시 송파구 백제고분로45길 34-6(송파동),,37.51084387,127.1081593,성공
초밥이야기,음식점/식음료업,서울특별시 동작구 사당로 10 (상도동),1층 초밥이야기,37.4953203,126.9554377,성공
광화문한국사회교육원,기술/기능교육,"서울특별시 종로구 새문안로3길 7 (신문로1가, 한글회관)			",,37.57093323,126.9723173,성공
LG광화문어린이집,생활/리빙,서울시 종로구 새문안로 58,LG광화문빌딩 2층,37.56927504,126.9715805,성공
관자재한의원,보건/복지,"서울특별시 종로구 삼봉로 81 (수송동, 두산위브파빌리온)",2층,37.57256394,126.9815063,성공
아르페지오,의류/잡화,서울특별시 은평구 갈현로 44 (신사동),,37.60173441,126.9104816,성공
날개를찾은아이들(날찾아),의류/잡화,서울특별시 광진구 자양로13나길 37,1층 우측상가(자양동),37.53469473,127.0792376,성공
비어호프,음식점/식음료업,서울특별시 구로구 가마산로 22길 9,지하1층 (구로동),37.49397567,126.8876541,성공
슬로우캘리 서대문점 ,음식점/식음료업,서울특별시 서대문구 통일로 139 (냉천동),.,37.56677601,126.965374,성공
세븐일레븐 중구을지로3가점,식자재/유통,서울특별시 중구 충무로 55-1(을지로3가295-9),세븐일레븐 중구을지로3가점,37.56612699,126.992465,성공
메가엠지씨커피상계초입구사거리점,음식점/식음료업,"서울특별시 노원구 노원로 452 (상계동, 강남청솔학원)			",1층,37.65700633,127.0669201,성공
더벤티 마포더클래시점,음식점/식음료업,서울 마포구 신촌로28길 8,"상가2동 14호(아현동, 마포 더 클래시)",37.55616799,126.9488901,성공
신바하음악교습소,예술교육,서울시 마포구 성미산로15길 40,1층,37.56295341,126.9173984,성공
아트인미술교습소,예술교육,서울특별시 마포구 상암산로1길 73 (상암동),월드플라자 501호,37.58016326,126.8832049,성공
새말논술국어학원,입시/교습학원,서울특별시 마포구 독막로 257 (대흥동),3층(삼문빌딩),37.5463679,126.942188,성공
한일잉글리쉬아카데미학원,외국어/언어,서울시 마포구 백범로 91,8층,37.5482162,126.9418041,성공
윤선생우리집앞영어교실마포우성영어교습소,입시/교습학원,서울특별시 마포구 삼개로 35 (도화동),,37.5370695,126.9476194,성공
미용재료  경안사,의류/잡화,"서울 중구 퇴계로 57, 2층 (남창동, 중앙빌딩)",중앙빌딩 2층,37.55912045,126.9783403,성공
탱크영어수학전문학원,입시/교습학원,서울특별시 영등포구 국회대로37길 23 (당산동4가),범우빌딩3층,37.52886085,126.9004261,성공
한마음축산,식자재/유통,서울특별시 성동구 송정12길 13 (송정동),1층,37.54957271,127.0666065,성공
안경마트,의류/잡화,서울시 용산구 한강대로 258,안경마트,37.54139975,126.9732961,성공
에이뿔램,음식점/식음료업,"서울 광진구 능동로36길 36, 2층 (능동)",2층 에이뿔램,37.55564743,127.0810016,성공
이태원천상  여의도점,음식점/식음료업,서울특별시 영등포구 국회대로68길 17(여의도동),지하1층,37.52878489,126.9201094,성공
자코비스 버거,음식점/식음료업,서울특별시 용산구 신흥로 38 (용산동2가),,37.54178448,126.987424,성공
GS25 용산LS타워점,식자재/유통,서울 용산구 한강대로,"92, 지하1층 (한강로2가 191, LS용산타워지하아케이드)",37.53648888,126.9742771,성공
전주상회,식자재/유통,서울특별시 중구 청파로 441,한성빌딩 1층,37.55883795,126.9689302,성공
메가엠지씨커피 상일고덕점,식자재/유통,"서울특별시 강동구 상일로 55 (상일동, 고덕자이)			",,37.55331821,127.1687882,성공
덕진인테리어,가구/인테리어,서울시 용산구 새창로 124-15,(용문동),37.53622721,126.9605056,성공
카페종달,음식점/식음료업,"서울특별시 강서구 양천로67길 54 (염창동, 우성2차아파트)			",,37.55619438,126.8694637,성공
