store_name,dong,address
거성레이져,성수동1가,서울 성동구 상원길 23(성수동1가)
명작 김진향한복,금호동4가,"서울 성동구 독서당로294, 2층 (금호동4가)"
남도집,도선동,서울 성동구 왕십리로20길 9-1 (도선동)
신도데이타,성수동2가,서울 성동구 성수이로10길 81층(성수동2가)
짱텔레콤,용답동,서울 성동구 용답중앙15길 31층(용답동)
법무사이두석사무소,성수동1가,"서울 성동구 상원6나길 22-11, 205호 (성수동1가, 성동지역경제혁신센터)"
김종용누룽지통닭,행당동,"서울 성동구 마조로5길 7 1,2층"
깜장커피,행당동,서울 성동구 왕십리로 223 2층
씨유마장현대점,마장동,서울 성동구 마장동 768-1 안민빌딩 109
홍단,성수동1가,"서울특별시 성동구 광나루로 130 1206호 (성수동1가,12층)"
G&S콜렉션,성수동2가,서울 성동구 성수2가1동 321-1
다이어리스쿨,옥수동,서울 성동구 옥수동 100 옥수하이츠아파트상가동3층상가동302호
이경피혁,성수동2가,"서울 성동구 연무장3길 14, 1층 102호 (성수동2가)"
앤아더스컴퍼니(ANDOTHERS COMPANY),용답동,서울 성동구 용답23길 3 지층
쁘띠 아르브르,금호동2가,서울특별시 성동구 금호산9가길 46 지하1층(금호동2가)
러벨로(LoVelo),금호동1가,"서울 성동구 독서당로51길 13, 지하1층 (금호동1가)"
에스오오피 플라워,행당동,"서울특별시 성동구 고산자로 177 109-603(서울숲행당대우푸르지오아파트)(행당동,서울숲행당푸르지오아파트)"
라미라  우리옷,도선동,"서울 성동구 왕십리로24길 1-1,  2층 (도선동)"
박준조세무회계사무소,송정동,"서울 성동구 광나루로 323302 (송정동,송정빌딩)"
페이퍼돌메이트,성수동1가,"서울 성동구 왕십리로 58, 11층 1114호 (성수동1가, FORHU)"
플랜비디자인,성수동1가,서울특별시 성동구 뚝섬로1길 25 한라에코밸리 6층 603호(성수동1가)
위드솔루션,성수동1가,서울 성동구 상원6길 7
모던팩토리(Modern  Fa,성수동1가,"서울 성동구  왕십리로14길 17, 1층 (성수동1가)"
제3의 눈 타로,옥수동,"서울 성동구  한림말길 31, 지하층 36호 (옥수동, 옥수삼성아파트상가)"
건강한약국,도선동,서울 성동구 왕십리로 320 1층1호
리웨일,행당동,"서울특별시 성동구 행당로 79 127동 902호(행당동,행당대림아파트)(행당동,행당동 대림아파트)"
누아흐,성수동1가,"서울 성동구 성수일로11길 15, 제1층 104,105호 (성수동1가, 뚝섬리버빌)"
성수포이,성수동1가,"서울 성동구 상원12길 30, 12층 1204호 (성수동1가, 동진아이티타워)"
화로양미,성수동1가,서울 성동구 상원4길 9 1층
민들레 수선,상왕십리동,"서울 성동구 마장로 137,221동 2층 156호 (상왕십리동,텐즈힐)"
미듬한상,성수동2가,"서울 성동구 아차산로5길 33, 1층 (성수동2가)"
두레,송정동,서울특별시 성동구 송정4가길 74 (송정동)(송정동)
도날드음향 커뮤니케이션,성수동2가,서울특별시 성동구 성수이로 147 아이에스비즈타워B408-~409호(성수동2가)
코리아안전몰,하왕십리동,"서울 성동구  청계천로 462, 3층 302호 (하왕십리동, 성우빌딩)"
쉼표,성수동2가,서울특별시 성동구 연무장15길 11 B동1층112호
라쿵푸마라탕 금호점,금호동1가,서울 성동구 금호로 148-1 2층
빙고스타,마장동,서울특별시 성동구 마장로27가길 28 .(마장동)
모뇨상점,마장동,"서울 성동구 마조로15가길 23, 104동 505호 (마장동, 마장에스에이치빌)"
벨라엘라,성수동1가,"서울특별시 성동구 상원길 63 107동 16층(성수동1가,쌍용아파트)"
영광식당,용답동,"서울 성동구 자동차시장1길 70, A동 A호 1층 가 2559호 (용답동, 장안평중고자동차시장)"
모어(mor),성수동1가,서울 성동구 왕십리로16가길 4 2층
엘지설치센터관악점,옥수동,"서울특별시 성동구 독서당로 191 (옥수동,옥수동극동아파트)"
임페리얼골프아카데미,행당동,"서울 성동구 왕십리로 280, 상가동 지층 202호 (행당동, 행당동삼부아파트)"
내가찜한닭,행당동,"서울 성동구 마조로7길 5, 2층 (행당동, 한양고시원)"
성수꼬마,성수동1가,"서울 성동구 성덕정9길 3, 1층 (성수동1가)"
마망젤라또,성수동2가,서울 성동구 연무장9길 8 1층
어파트오브미,성수동1가,"서울 성동구 왕십리로4길 26-12, 1층 (성수동1가)"
블랙태닝,금호동1가,"서울 성동구  금호로 102, 2층 207호 208호 (금호동1가, 벽산하이피아상가)"
(주)우영디앤지,성수동2가,서울 성동구 성수일로12길 27 A동 301호
(주)성도지엘,성수동1가,서울 성동구 성수1가1동 서울스코롱디지털타워 3차 12층
(주)브라사스코리아,마장동,"서울 성동구 청계천로 458301호(하왕십리동, 동원빌딩)"
명우이앤티(주),성수동2가,"서울 성동구 연무장5가길 7, 2층 209호 (성수동2가, 성수역현대테라스타워)"
주식회사한국성과코칭협회,성수동2가,"서울 성동구 연무장5가길 25, 1708호 (성수동2가, 성수역SKV1Tower)"
(주)베스트시큐리티,성수동1가,서울특별시 성동구 상원1길 42 2층
한국스위칭(주)/원격지,성수동1가,"서울 성동구 성수일로 55909호(성수동1가, SK테크노빌딩)"
(주)에이엔에이치인터내셔날,성수동2가,서울 성동구 성수이로24길 33
(재)서울그린트러스트,성수동1가,서울  성동구  성수동1가  656-1693  풍성빌딩  2층
사단법인한국석면환경협회,성수동2가,"서울 성동구 광나루로6길 35, 성수우림이비즈센터 602호 (성수동2가, 성수동우림이비즈센터)"
(사)숲생태지도자협회,성수동1가,서울특별시 성동구 서울숲9길 5 3층
재단법인한국공공디자인지역지원재단,행당동,서울 성동구 행당동 17 한양종합기술연구원 2층 204
성동10호점우리동네키움센터(금호대우아이?,금호동4가,"서울 성동구 독서당로 272,  제2관리동 (금호동4가, 금호동대우아파트)"
대한퇴행성신경질환학회,사근동,"서울 성동구 왕십리로 222 (사근동, 한양대학교병원 서관7층 세포치료센터)"
주식회사 그린,옥수동,서울특별시 성동구 한림말길 41-21 .
네오컨버전스주식회사,성수동1가,서울 성동구 아차산로 49 1701호
(주)롱코리아파트너스,송정동,서울 성동구 동일로 301 (송정동)
(주)마린액트,성수동1가,서울 성동구 성수일로 77 2층 216호
금성방재산업(주),상왕십리동,서울 성동구 청계천로 426 107호
（주）빌앤시스템,성수동1가,"서울 성동구 광나루로 130, 1110호 (성수동1가, 서울숲IT캐슬)"
주식회사 한국티소믈리에연구원,성수동1가,서울 성동구 아차산로 17 12층 1204호
(주)프레피스코리아(Prephis Corea Co.Ltd),성수동1가,서울 성동구 광나루로 130 1601호
