행정기관,총인구수,남자인구수,여자인구수,5세이하인구수,18세이상인구수,65세이상인구수,세대수,전월대비,순위
금호2.3가동,20736,9830,10906,853,18429,4153,9389,3,5
금호동1가,14431,6840,7591,576,12638,3037,6400,-29,9
금호동4가,14011,6587,7424,635,12172,2828,6374,-10,10
도선동,25743,12090,13653,1016,22594,4349,12033,-136,1
마장동,21394,10478,10916,519,19499,4443,10865,54,4
사근동,12059,6238,5821,149,11449,1604,8354,9,15
성수동1가,28221,13814,14407,885,25590,5044,13834,162,20
성수동2가,23405,11895,11510,521,21672,5155,12334,-88,27
송정동,9309,4897,4412,165,8663,2004,5210,-12,17
옥수동,25185,11663,13522,1307,21689,4726,10664,7,2
용답동,12148,6233,5915,130,11582,2402,7868,-9,14
응봉동,14557,6889,7668,462,12565,2700,5882,-36,8
하왕십리,15882,7613,8269,587,14126,2956,7374,12,6
행당동,36114,16963,19151,1300,31711,6785,15628,-37,15
